YY/MM/DD,Hour:Min:Sec,r1,r2,MS5803_T,pressure,therm_T
2021/4/2,10:27:55,24.48,24.23,9.342457,1292.277,7.812545
2021/4/2,10:32:56,27.73,27.52,9.361268,1287.98,7.858161
2021/4/2,10:37:57,28.58,28.15,9.380078,1282.15,7.860277
2021/4/2,10:42:57,28.48,28.70,9.436496,1277.689,7.916471
2021/4/2,10:47:58,30.88,31.10,9.474098,1273.18,7.940032
2021/4/2,10:52:59,32.67,33.14,9.492897,1268.881,7.991996
2021/4/2,10:58:0,36.95,37.42,9.549282,1263.139,8.020918
2021/4/2,11:3:0,41.19,41.82,9.624436,1258.207,8.081881
2021/4/2,11:8:1,46.23,46.46,9.64322,1252.884,8.099612
2021/4/2,11:13:2,46.68,47.75,9.699561,1246.882,8.182966
2021/4/2,11:18:3,42.42,42.80,9.699561,1241.257,8.175205
2021/4/2,11:23:3,45.43,45.59,9.737113,1235.464,8.211291
2021/4/2,11:28:4,50.63,51.69,9.793427,1228.692,8.288939
2021/4/2,11:33:5,45.69,47.21,9.849724,1222.685,8.306283
2021/4/2,11:38:6,52.49,53.77,9.887245,1217.912,8.375391
2021/4/2,11:43:6,49.71,50.81,9.924761,1210.581,8.436853
2021/4/2,11:48:7,55.32,57.10,9.999768,1205.635,8.478639
2021/4/2,11:53:8,50.72,51.88,10.056,1200.134,8.562523
2021/4/2,11:58:9,50.66,51.67,10.11222,1193.352,8.592303
2021/4/2,12:3:9,48.22,49.48,10.16843,1187.08,8.634125
2021/4/2,12:8:10,50.77,51.55,10.22462,1180.039,8.703645
2021/4/2,12:13:11,51.11,52.45,10.28079,1174.02,8.750344
2021/4/2,12:18:12,49.31,50.46,10.31822,1167.702,8.781478
2021/4/2,12:23:12,45.73,46.79,10.39308,1160.697,8.859213
2021/4/2,12:28:13,50.17,51.53,10.41179,1154.08,8.894296
2021/4/2,12:33:14,47.57,48.10,10.4866,1147.071,8.950727
2021/4/2,12:38:15,47.74,48.75,10.5427,1140.531,8.976828
2021/4/2,12:43:15,50.09,50.95,10.56139,1133.911,8.981882
2021/4/2,12:48:16,51.90,53.04,10.524,1127.429,8.972169
2021/4/2,12:53:17,50.84,51.54,10.61746,1119.684,9.038671
2021/4/2,12:58:18,46.68,47.40,10.93489,1113.68,9.368799
2021/4/2,13:3:18,46.62,47.22,11.02816,1107.72,9.400934
2021/4/2,13:8:19,48.71,49.70,11.08409,1101.167,9.430346
2021/4/2,13:13:20,48.65,49.91,11.15864,1095.42,9.48839
2021/4/2,13:18:21,49.45,50.37,11.10273,1089.922,9.419394
2021/4/2,13:23:21,43.76,44.86,11.27042,1084.36,9.624282
2021/4/2,13:28:22,47.11,48.11,11.36351,1078.388,9.706662
2021/4/2,13:33:23,47.87,48.70,11.21454,1075.013,9.536168
2021/4/2,13:38:23,46.95,47.84,11.19591,1068.82,9.623976
2021/4/2,13:43:24,46.62,47.96,11.53097,1064.604,9.718143
2021/4/2,13:48:25,47.60,48.91,11.77259,1060.711,9.976179
2021/4/2,13:53:26,52.33,53.45,11.71686,1056.237,10.01088
2021/4/2,13:58:26,48.54,50.03,11.66111,1052.534,10.06493
2021/4/2,14:3:27,49.39,50.35,11.79117,1049.447,10.16258
2021/4/2,14:8:28,50.21,51.31,11.86544,1045.737,10.20264
2021/4/2,14:13:29,49.79,51.02,11.92113,1043.018,10.28867
2021/4/2,14:18:29,49.67,50.77,12.01391,1040.112,10.36565
2021/4/2,14:23:30,49.45,50.63,12.08809,1037.426,10.42389
2021/4/2,14:28:31,45.15,46.24,12.21785,1035.101,10.49922
2021/4/2,14:33:32,48.12,49.31,12.051,1033.501,10.45758
2021/4/2,14:38:32,41.01,43.54,12.38455,1028.988,12.42461
2021/4/2,14:43:33,44.02,45.65,12.19932,1027.868,10.61863
2021/4/2,14:48:34,47.44,49.03,12.31048,1025.763,10.64712
2021/4/2,14:53:35,43.08,44.33,12.329,1025.798,10.66992
2021/4/2,14:58:35,42.32,44.23,12.31048,1023.964,10.67513
2021/4/2,15:3:36,44.27,46.18,12.44008,1023.176,10.78601
2021/4/2,15:8:37,120.13,121.45,12.42157,1018.513,10.65581
2021/4/2,15:13:38,36.10,38.41,12.60659,1080.348,10.91907
2021/4/2,15:18:38,36.26,39.19,12.68054,1079.723,10.95521
2021/4/2,15:23:39,37.01,39.72,12.77294,1078.619,11.05888
2021/4/2,15:28:40,38.82,42.57,12.9576,1078.213,11.17921
2021/4/2,15:33:41,32.32,35.00,12.5696,1077.701,10.87127
2021/4/2,15:38:41,33.29,36.34,12.5696,1077.187,10.79563
2021/4/2,15:43:42,34.29,37.85,12.60659,1077.002,10.89164
2021/4/2,15:48:43,35.00,38.64,12.73598,1077.002,10.99823
2021/4/2,15:53:44,33.60,37.47,12.58809,1076.451,10.87853
2021/4/2,15:58:44,32.94,37.37,12.5141,1076.048,10.83185
2021/4/2,16:3:45,33.21,37.58,12.4771,1076.746,10.76637
2021/4/2,16:8:46,33.33,37.17,12.4771,1076.489,10.75481
2021/4/2,16:13:47,33.25,37.69,12.45859,1077.224,10.71922
2021/4/2,16:18:47,31.36,35.60,12.27343,1077.114,10.65929
2021/4/2,16:23:48,30.86,35.68,12.19932,1077.995,10.49881
2021/4/2,16:28:49,32.07,36.76,12.329,1078.51,10.61872
2021/4/2,16:33:50,32.67,36.92,12.45859,1079.539,10.75246
2021/4/2,16:38:50,31.63,36.36,12.38455,1080.934,10.69508
2021/4/2,16:43:51,30.84,35.15,12.16225,1083.062,10.4785
2021/4/2,16:48:52,31.06,35.76,12.18078,1084.898,10.49973
2021/4/2,16:53:53,30.13,34.43,12.08809,1086.255,10.4443
2021/4/2,16:58:53,30.18,35.02,12.10663,1090.147,10.38412
2021/4/2,17:3:54,32.65,37.72,12.5141,1093.025,10.73343
2021/4/2,17:8:55,30.34,34.53,12.23638,1095.55,10.53311
2021/4/2,17:13:56,28.69,33.39,12.06955,1099.324,10.32976
2021/4/2,17:18:56,30.72,35.91,12.25491,1103.814,10.50299
2021/4/2,17:23:57,32.30,37.39,12.4771,1108.641,10.72801
2021/4/2,17:28:58,29.72,34.55,12.19932,1111.155,10.50677
2021/4/2,17:33:59,28.63,33.60,12.01391,1115.142,10.33995
2021/4/2,17:38:59,29.53,34.68,12.10663,1120.474,10.42114
2021/4/2,17:44:0,31.59,36.46,12.21785,1125.59,10.55742
2021/4/2,17:49:1,29.94,34.97,12.14371,1129.804,10.4934
2021/4/2,17:54:2,28.58,33.92,11.99535,1135.402,10.30437
2021/4/2,17:59:2,29.52,34.87,12.18078,1140.678,10.42185
2021/4/2,18:4:3,28.32,33.47,12.08809,1147.163,10.4091
2021/4/2,18:9:4,29.89,34.63,12.14371,1152.68,10.47667
2021/4/2,18:14:5,29.55,34.39,12.14371,1158.591,10.50371
2021/4/2,18:19:5,30.66,35.84,12.21785,1165.178,10.57948
2021/4/2,18:24:6,33.80,39.09,12.08809,1171.835,10.49452
2021/4/2,18:29:7,26.79,31.58,11.9768,1178.528,10.32201
2021/4/2,18:34:8,28.29,33.68,12.01391,1186.833,10.35535
2021/4/2,18:39:8,30.89,35.46,12.01391,1192.999,10.41971
2021/4/2,18:44:9,28.29,33.55,12.03245,1200.236,10.37943
2021/4/2,18:49:10,29.09,33.83,12.08809,1208.586,10.45237
2021/4/2,18:54:11,32.49,38.11,11.99535,1214.027,10.45002
2021/4/2,18:59:11,30.95,35.96,11.9768,1221.436,10.38157
2021/4/2,19:4:12,30.75,35.73,11.92113,1229.015,10.34689
2021/4/2,19:9:13,33.10,37.88,11.73544,1236.289,10.23494
2021/4/2,19:14:14,29.04,34.34,11.99535,1243.319,10.36688
